a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
we propose an improved XXXXX which makes the best of ergodicity of piecewise linear XXXXX to explore the global search while utilizing the sequential quadratic programming to accelerate the local search	['gravitational search algorithm', 'chaotic map']
we propose an improved XXXXX which makes the best of ergodicity of piecewise linear chaotic map to explore the XXXXX while utilizing the sequential quadratic programming to accelerate the local search	['gravitational search algorithm', 'global search']
we propose an improved XXXXX which makes the best of ergodicity of piecewise linear chaotic map to explore the global search while utilizing the sequential quadratic programming to accelerate the XXXXX	['gravitational search algorithm', 'local search']
we propose an improved gravitational search algorithm which makes the best of ergodicity of piecewise linear XXXXX to explore the XXXXX while utilizing the sequential quadratic programming to accelerate the local search	['chaotic map', 'global search']
we propose an improved gravitational search algorithm which makes the best of ergodicity of piecewise linear XXXXX to explore the global search while utilizing the sequential quadratic programming to accelerate the XXXXX	['chaotic map', 'local search']
we propose an improved gravitational search algorithm which makes the best of ergodicity of piecewise linear chaotic map to explore the XXXXX while utilizing the sequential quadratic programming to accelerate the XXXXX	['global search', 'local search']
based on the binary improved XXXXX and the XXXXX ( k-nn ) method , a novel hybrid system is proposed to improve classification accuracy with an appropriate feature subset in binary problems	['gravitational search algorithm', 'k-nearest neighbor']
based on the binary improved XXXXX and the k-nearest neighbor ( k-nn ) method , a novel XXXXX is proposed to improve classification accuracy with an appropriate feature subset in binary problems	['gravitational search algorithm', 'hybrid system']
based on the binary improved XXXXX and the k-nearest neighbor ( k-nn ) method , a novel hybrid system is proposed to improve XXXXX with an appropriate feature subset in binary problems	['gravitational search algorithm', 'classification accuracy']
based on the binary improved gravitational search algorithm and the XXXXX ( k-nn ) method , a novel XXXXX is proposed to improve classification accuracy with an appropriate feature subset in binary problems	['k-nearest neighbor', 'hybrid system']
based on the binary improved gravitational search algorithm and the XXXXX ( k-nn ) method , a novel hybrid system is proposed to improve XXXXX with an appropriate feature subset in binary problems	['k-nearest neighbor', 'classification accuracy']
based on the binary improved gravitational search algorithm and the k-nearest neighbor ( k-nn ) method , a novel XXXXX is proposed to improve XXXXX with an appropriate feature subset in binary problems	['hybrid system', 'classification accuracy']
three XXXXX based XXXXX such as , ann–ga , ann–sa and ann–quasi newton have been developed	['soft computing', 'integrated models']
XXXXX on four different XXXXX ( non-neutral and neutral nk landscapes , flow-shop , qap , maxsat )	['experimental analysis', 'landscape models']
m-band XXXXX is used to extract scale-space features for XXXXX	['wavelet packet', 'document image']
er-wca outperforms or equals other methods in terms of XXXXX and XXXXX	['function evaluations', 'solution quality']
human visual perception in assessing XXXXX using type 2 XXXXX	['image quality', 'fuzzy sets']
we design an XXXXX which is suitable for process with XXXXX	['control chart', 'fuzzy parameters']
we solve the XXXXX using the combination of two XXXXX	['evolutionary methods', 'path planning problem']
second , XXXXX ( ep ) optimizes the XXXXX and smoothness	['evolutionary programming', 'path length']
also developed hybrid of XXXXX and adaptive XXXXX	['score level', 'fuzzy decision level']
the fmcdm model avoids multiplying two XXXXX into a pooled XXXXX , and reserves fuzzy information	['fuzzy numbers', 'fuzzy number']
the effect of degree of XXXXX and hybrid combination of XXXXX is studied	['activation functions', 'input variables']
we propose a directional XXXXX for XXXXX ( de )	['mutation operator', 'differential evolution']
this XXXXX the permutation flowshop scheduling problem with XXXXX and weighted tardiness	['order acceptance', 'paper studies']
this paper studies the XXXXX with XXXXX and weighted tardiness	['order acceptance', 'permutation flowshop scheduling problem']
this XXXXX the XXXXX with order acceptance and weighted tardiness	['paper studies', 'permutation flowshop scheduling problem']
nearest XXXXX of continuous type-2 fuzzy variable with cv-based XXXXX	['interval approximation', 'reduction method']
a new XXXXX , combining XXXXX and adaptive-network-based fuzzy inference system ( anfis–pso ) was used	['hybrid approach', 'particle swarm optimization']
a new XXXXX , combining particle swarm optimization and adaptive-network-based XXXXX ( anfis–pso ) was used	['hybrid approach', 'fuzzy inference system']
a new hybrid approach , combining XXXXX and adaptive-network-based XXXXX ( anfis–pso ) was used	['particle swarm optimization', 'fuzzy inference system']
a thresholding method is proposed using XXXXX and XXXXX	['fuzzy entropy', 'bat algorithm']
a XXXXX is proposed using XXXXX and bat algorithm	['fuzzy entropy', 'thresholding method']
a XXXXX is proposed using fuzzy entropy and XXXXX	['bat algorithm', 'thresholding method']
the proposed method can stably converge to XXXXX with XXXXX	['optimal threshold', 'high efficiency']
we present a bi-objective XXXXX for a XXXXX	['inventory model', 'supply chain problem']
it2fls employs hybrid learning process by XXXXX and XXXXX	['fuzzy c-means', 'genetic algorithm']
to evaluate the gsd team-level service climate and gsd project outcome relationship based on adaptive neuro-fuzzy XXXXX ( anfis ) with the hybrid taguchi-genetic XXXXX ( htgla )	['inference system', 'learning algorithm']
to evaluate the gsd team-level XXXXX and gsd project outcome relationship based on adaptive neuro-fuzzy XXXXX ( anfis ) with the hybrid taguchi-genetic learning algorithm ( htgla )	['inference system', 'service climate']
to evaluate the gsd team-level XXXXX and gsd project outcome relationship based on adaptive neuro-fuzzy inference system ( anfis ) with the hybrid taguchi-genetic XXXXX ( htgla )	['learning algorithm', 'service climate']
our evolutionary XXXXX provides improved XXXXX	['recognition rate', 'face recognition algorithm']
we obtain the XXXXX of XXXXX induced by soft coverings	['lattice structure', 'soft sets']
we investigate the parameter reduction of soft coverings by means of knowledge on the XXXXX for covering XXXXX	['attribute reduction', 'information systems']
we investigate the XXXXX of soft coverings by means of knowledge on the XXXXX for covering information systems	['attribute reduction', 'parameter reduction']
